dataset,size_in_MB,eval_time,AUC_ROC,Precision,Recall,F1
557_YAHOO_id_7_WebService_tr_500_1st_770,0.009467,1.64 s,0.805,0.9949,0.1026,0.1861
614_YAHOO_id_64_WebService_tr_500_1st_1204,0.009619,1.04 s,0.8811,0.1007,0.1738,0.1275
704_YAHOO_id_154_WebService_tr_500_1st_541,0.009838,0.99 s,0.7215,1.0,0.0362,0.0699
657_YAHOO_id_107_WebService_tr_500_1st_1260,0.009995,0.96 s,1.0,1.0,1.0,1.0
626_YAHOO_id_76_WebService_tr_500_1st_883,0.010173,1.00 s,1.0,0.9342,0.9827,0.9578
705_YAHOO_id_155_WebService_tr_500_1st_1279,0.011013,0.95 s,0.9995,1.0,0.9474,0.973
644_YAHOO_id_94_WebService_tr_500_1st_1078,0.011046,0.62 s,0.3629,0.0,0.0,0.0
558_YAHOO_id_8_WebService_tr_500_1st_1125,0.011197,0.67 s,0.2506,0.0127,0.0058,0.0079
693_YAHOO_id_143_WebService_tr_500_1st_1003,0.011522,0.62 s,0.9999,0.7391,0.9444,0.8293
615_YAHOO_id_65_WebService_tr_500_1st_348,0.011861,0.61 s,0.9991,0.4083,0.9857,0.5774
734_YAHOO_id_184_WebService_tr_500_1st_768,0.012035,0.60 s,0.8396,0.8951,0.1073,0.1916
807_YAHOO_id_257_WebService_tr_500_1st_1210,0.012309,0.67 s,0.9548,0.5275,0.1798,0.2682
594_YAHOO_id_44_WebService_tr_500_1st_599,0.012459,0.65 s,0.9993,0.4125,0.9586,0.5768
674_YAHOO_id_124_WebService_tr_500_1st_514,0.012965,0.62 s,1.0,1.0,0.5,0.6667
750_YAHOO_id_200_WebService_tr_500_1st_591,0.013763,0.63 s,0.7909,0.3601,0.456,0.4025
556_YAHOO_id_6_WebService_tr_500_1st_359,0.013815,0.62 s,0.6916,0.3333,0.0529,0.0913
751_YAHOO_id_201_WebService_tr_500_1st_142,0.013821,0.62 s,1.0,0.973,0.9783,0.9756
808_YAHOO_id_258_WebService_tr_500_1st_142,0.013846,0.64 s,0.9999,0.8871,0.9763,0.9296
140_MSL_id_1_Sensor_tr_530_1st_630,0.014591,1.18 s,0.866,1.0,0.0082,0.0163
146_MSL_id_7_Sensor_tr_554_1st_1172,0.014593,0.99 s,0.497,0.1318,0.0787,0.0986
764_YAHOO_id_214_WebService_tr_500_1st_599,0.015697,0.62 s,0.8837,0.4096,0.7073,0.5188
766_YAHOO_id_216_WebService_tr_500_1st_114,0.016873,0.61 s,0.8637,0.9375,0.274,0.424
009_NAB_id_9_Traffic_tr_500_1st_438,0.017314,0.94 s,0.6442,0.4406,0.0291,0.0546
013_NAB_id_13_Traffic_tr_623_1st_2084,0.017469,1.09 s,0.5865,0.7529,0.0817,0.1474
026_NAB_id_26_Traffic_tr_624_1st_2261,0.017527,1.12 s,0.5334,0.0508,0.0327,0.0398
005_NAB_id_5_Traffic_tr_594_1st_1645,0.017679,1.04 s,0.4345,0.1541,0.0227,0.0395
010_NAB_id_10_WebService_tr_500_1st_271,0.017778,0.46 s,0.5624,0.883,0.0395,0.0757
018_NAB_id_18_Facility_tr_500_1st_669,0.01987,0.85 s,0.5611,0.0,0.0,0.0
007_NAB_id_7_Traffic_tr_624_1st_2087,0.020213,1.13 s,0.5744,0.6757,0.072,0.1301
027_NAB_id_27_Facility_tr_757_1st_2582,0.021395,1.36 s,0.5575,0.0848,0.0219,0.0348
277_NEK_id_1_WebService_tr_500_1st_17,0.022519,0.47 s,0.9776,0.9951,0.2457,0.3941
279_NEK_id_3_WebService_tr_500_1st_974,0.022546,0.47 s,0.7744,0.1782,0.1185,0.1424
283_NEK_id_7_WebService_tr_500_1st_777,0.022559,0.47 s,0.6305,0.5303,0.1089,0.1808
285_NEK_id_9_WebService_tr_500_1st_780,0.022559,0.47 s,0.6518,0.5303,0.129,0.2076
280_NEK_id_4_WebService_tr_500_1st_231,0.02265,0.46 s,0.6282,1.0,0.06,0.1133
278_NEK_id_2_WebService_tr_500_1st_64,0.02267,0.47 s,0.693,1.0,0.0488,0.093
282_NEK_id_6_WebService_tr_500_1st_64,0.022731,0.46 s,0.756,1.0,0.0699,0.1307
284_NEK_id_8_WebService_tr_500_1st_976,0.023005,0.46 s,0.6521,0.2632,0.1292,0.1733
281_NEK_id_5_WebService_tr_500_1st_974,0.023008,0.47 s,0.6922,0.2069,0.1385,0.1659
017_NAB_id_17_Synthetic_tr_1007_1st_1805,0.024281,1.82 s,0.5251,0.1635,0.0297,0.0503
622_YAHOO_id_72_WebService_tr_500_1st_421,0.025509,0.66 s,0.9885,0.9904,0.9283,0.9583
