dataset,size_in_MB,eval_time,mse,mae,mase,mape,rmse,nrmse,smape,msis,nd,mwsq,crps
us_births,0.13,0.04s,78187387.24877577,7586.208333292724,,0.7414925047824038,8842.363216288719,0.7749661006607412,1.482956482950949,0.6124445785309529,0.9999999986764656,0.0009365523925411,12.32397283191846
ett1,4.4,0.04s,93.9737653858665,5.913333292724002,,0.7414905933221596,9.694006673500205,0.3146177959016696,1.4829526297537947,0.1662756078176601,0.9999983020418796,7.503873489796031e-07,1.483164575779472e-05
ett2,4.57,0.05s,325.7851545470272,12.114496995656117,,0.6647334533225753,18.049519510142844,0.4507758298340337,1.3294283734478844,0.2905067787945714,0.99999917221944,1.531107002268171e-06,5.1803358265843314e-05
saugeenday,0.38,0.04s,76.49666549714168,7.243749959390558,,0.7414916925130358,8.746237219349911,0.5333068223342493,1.4829548453975818,0.3977856871439817,0.999998613895347,9.166126179014116e-07,1.2080042849024902e-05
solar,33.4,0.08s,80.23253087226774,4.518964320848845,,0.3749281624732474,8.957261348887155,0.151432964235968,0.7497784514258392,0.1531862533534363,0.9999977914531556,6.219153241580779e-07,1.3135366173382948e-05
jena_weather,7.18,0.05s,110601.20072765918,134.28796129535672,,0.5206189234026045,332.56758820976404,0.2535470973227003,1.2733382754326692,0.0555945853042636,1.0041674172293371,0.2786786134951692,1.56535647886129
hierarchical_sales,0.9,0.06s,40.5016271970884,2.547851560939622,,0.5019875577156169,6.364088874072109,0.0558253361036732,1.0039149821998483,0.1028357974894426,0.9999960745275468,3.578529388022156e-07,6.766049826648093e-06
bizitobs_l2c,1.68,0.04s,6.2999269483641174e-15,7.879263804374166e-08,,0.0078792638043741,7.937207914855273e-08,0.0079372079148552,0.0156335412607705,0.0078792638043741,0.0078792638043741,7.879262928763149e-08,6.299926219241694e-15
M_DENSE,3.7,0.04s,831120.5879187984,446.7622094905702,,0.7356382047300865,911.6581529931044,0.1978102850046111,1.4712470882637718,0.0859998951856945,0.9999999775280056,5.950389252143611e-05,0.1533995597360218
covid_deaths,0.27,0.13s,59572937.08002133,954.2684570567149,,0.3347697502045908,7718.350670967297,0.0442934244097693,0.6694574105488594,0.1094620007358334,0.9999999895474536,0.0001224082429084,9.670491897592104
bizitobs_application,0.33,0.04s,676944872.8453621,15653.72551480835,,0.7414924464972109,26018.16428661642,0.4628907678975859,1.4829563656729832,0.2422908395193053,0.9999999993585804,0.0019383689747367,107.10512762533942
hospital,0.35,0.27s,6.299945372457142e-15,7.879275449380114e-08,,0.0078792754493801,7.937219521001762e-08,0.0079372195210017,0.0156335641868671,0.0078792754493801,0.0078792754493801,7.879274573768377e-08,6.299944643332729e-15
car_parts_with_missing,0.58,0.92s,6.29993812832212e-15,7.879270979234519e-08,0.0078792709792345,0.0078792709792345,7.937214957604539e-08,0.0079372149576045,0.0156335553897607,0.0078792709792345,0.0078792709792345,7.87927010362376e-08,6.299937399199375e-15
electricity,442.39,0.15s,1456851.457437554,206.0846099641817,,0.3080623251329376,1207.0010179935864,0.0394659724671916,0.6160391322253999,0.0847901322718808,0.9999999516215085,2.4093361354671e-05,0.2206464619492854
kdd_cup_2018_with_missing,14.28,0.12s,3275.1032858767257,23.73185544856731,,0.615850221183935,57.22851811707801,0.0792528975551156,1.2321762260446112,0.0932787927948812,1.0000113741972163,0.0001429499973868,0.0007409154552784
LOOP_SEATTLE,324.08,0.14s,2563.6396818223075,39.88767796897243,,0.6249548894734981,50.6323975515905,0.6580622790334038,1.249865927679352,0.5283285841159612,0.9999997487535072,4.975653705380428e-06,0.0004058945922519
SZ_TAXI,4.58,0.07s,363.30011575572365,11.882749613314928,,0.6034331016424866,19.0604332520466,0.2533875625168629,1.2068170403095393,0.1663904845250505,0.9999991569112068,1.4494889610914028e-06,5.400802588235797e-05
restaurant,1.77,0.3s,416.1758293162016,12.47954224757908,,0.6148780737010654,20.400387969747086,0.0302227965444727,1.2297109627897949,0.1869604188902431,0.9999991970826428,1.5821758494661756e-06,6.589702312838074e-05
m4_hourly,2.43,0.17s,1024718503.5589404,4560.579057353126,,0.6858162890495362,32011.22464947164,0.0515683768728559,1.3715967273029046,0.070335512108111,0.9999999978003788,0.0005661981436143,162.42363906705916
bizitobs_service,3.07,0.04s,3429464.860838087,772.3744325021213,,0.6716237530559526,1851.8814381158656,0.1783398917885657,1.343209779737041,0.0702664590823655,0.9999999870150572,9.043967757027326e-05,0.4490653640316565
bitbrains_rnd,63.69,0.35s,2168262.3595526726,200.2347169186596,,0.5008327786036609,1472.502074549531,0.067214236684588,1.0016053514765495,0.0739009637813652,0.9999999500513848,2.4543521754204784e-05,0.3321501380511024
m4_weekly,7.18,0.14s,9206027.448894655,1964.770011523968,,0.6937312233375796,3034.143610459903,0.1104449479235386,1.3874276400038363,0.1994854424841287,0.999999994893634,0.0002437939754315,1.4265584505873403
bitbrains_fast_storage,160.06,0.87s,10371337.187712535,623.7405632068601,0.5855273404541759,0.5357496432056448,3220.4560527528606,0.1463879657808394,1.0714436658310496,0.008520403381836,0.9999999839562628,7.758161003076875e-05,1.642899250611778
m4_yearly,51.4,7.86s,55308799.24893147,4976.874386679322,1.2015973118552652,0.741428641300284,7436.988587387469,0.0493103606079721,1.4828287476645463,0.2107344132761007,0.99999999798255,0.0006168136222651,8.757332571724005
temperature_rain_with_missing,113.99,10.97s,191.05365659962584,5.078050808994669,0.6545428475497558,0.3753884025022195,13.822216052414529,0.0229528658633109,0.7509811926421703,0.0584957154567802,1.0000736956355212,0.0001927670543499,0.0036418354193166
m4_quarterly,163.93,8.22s,44005589.09090758,4493.910466060987,1.2063974967109552,0.7414925001095731,6633.670860911595,0.1304095081309959,1.4829564736754832,0.229179518511115,0.99999999776573,0.0005570503718053,6.969835332367521
m4_daily,316.28,1.45s,16949597.670270607,2761.432452766692,1.1599494075624517,0.7310563029093654,4116.988908203495,0.0615302482078641,1.4620827070341522,0.2266100866054763,0.9999999963646,0.0003425264108475,2.685443976725631
m4_monthly,1025.34,16.31s,22621394.13936354,3182.7142396113895,1.2074809142654739,0.7414924990032205,4756.195342851631,0.03589581390560508,1.4829564714497134,0.23811827979429173,0.9999999968452703,0.0003943154780448597,3.5851760265084507
