dataset,size_in_MB,eval_time,mse,mae,mase,mape,rmse,nrmse,smape,msis,nd,mwsq,crps
us_births (M),0.0,0.19s,0.055124827,0.15998736,9.530034,14372.004,0.23478676,0.0700507946770209,1.9974595,16067.119,9.685108923182485,,
ett1 (W),0.01,0.15s,0.0488535314798355,0.1674365997314453,16743.66015625,16743.66015625,0.2210283428430557,22102.834284305573,1.999502420425415,16743.66015625,16743.65997314453,,
ett2 (W),0.01,0.15s,0.0428696312010288,0.1690398752689361,16903.986328125,16903.986328125,0.2070498317480087,20704.98317480088,1.9995646476745603,16903.986328125,16903.987526893616,,
saugeenday (M),0.02,0.15s,0.0786341056227684,0.218505322933197,38.17536163330078,21294.53125,0.2804177403450012,0.0732781777464692,1.995750069618225,21904.072265625,-1621.458096894606,,
us_births (W),0.02,0.15s,0.0783709809184074,0.1206122413277626,5.576417446136475,9935.3740234375,0.2799481749534607,0.0683924208324503,1.9988937377929688,12065.775390625,-5.670217406018904,,
ett1 (D),0.05,0.15s,0.3522150814533233,0.2378393411636352,1.850512146949768,13859.9970703125,0.5934771299362183,0.0933311141338214,1.9892314672470093,0.0815224200487136,-2.6057982964047604,,
ett2 (D),0.05,0.15s,0.1101309061050415,0.1997541040182113,3.6726791858673096,15349.4443359375,0.3318597674369812,0.0605107324174662,1.980210423469544,0.5620905160903931,-10.68909426314578,,
solar (W),0.06,0.29s,0.0408655889332294,0.1665971279144287,16659.712890625,16659.712890625,0.2021523863077163,20215.23863077164,1.9998334646224976,16659.712890625,16659.71279144287,,
saugeenday (W),0.07,0.15s,0.043898481875658,0.1654233038425445,36.71079635620117,16095.8466796875,0.2095196396112442,0.0532047780719569,1.9951443672180176,16556.044921875,292.12913297641086,,
jena_weather (D),0.08,0.15s,1.1020350456237793,0.5094773173332214,1.7396596670150757,20313.896484375,1.0497785806655884,0.076471509717966,1.9494208097457888,0.0722709000110626,2.2042390728710592,,
us_births (D),0.13,0.15s,0.1322969645261764,0.2508893311023712,20.383893966674805,23872.9609375,0.3637264966964721,0.0904531567871558,1.9978073835372925,25110.4140625,23.47373915911368,,
hierarchical_sales (W),0.15,0.22s,0.6720020174980164,0.5001465082168579,1.0001691579818726,8923.009765625,0.8197572827339172,0.0446911505279487,1.731558918952942,0.1060729026794433,-13.37932130534372,,
bizitobs_l2c (H),0.18,0.16s,0.0814106613397598,0.2050499469041824,7.534029483795166,17090.337890625,0.2853255271911621,0.0990571243007222,1.9766982793807983,0.3998841047286987,-14.275825010002904,,
M_DENSE (D),0.21,0.15s,0.471742033958435,0.391443133354187,2.440467834472656,14404.3330078125,0.6868348121643066,0.0892926741198714,1.9019259214401243,0.0964324325323104,-1.7703457783058258,,
covid_deaths (D),0.27,0.43s,130.1488494873047,2.7232394218444824,0.8122357130050659,18173.26171875,11.408279418945312,0.0572881135474539,1.977840662002564,0.0461527332663536,1.0850551050704809,,
bizitobs_application (10s),0.33,0.15s,108.9468994140625,1.1500740051269531,1.178505539894104,21815.099609375,10.437763214111328,0.0764751087938118,1.9990524053573608,115007.3984375,1.3150540833773166,,
solar (D),0.35,0.29s,0.1216193586587905,0.2379303574562072,1.517604112625122,8038.330078125,0.3487396836280823,0.1201081473073024,1.8227678537368768,0.1086352318525314,2.985067356124781,,
hospital (ME),0.35,0.91s,0.0339378900825977,0.1612531393766403,16125.314453125,16125.314453125,0.184222400188446,18422.240018844604,1.999804735183716,16125.314453125,16125.31393766403,,
saugeenday (D),0.38,0.15s,0.0456870310008525,0.1747212260961532,21.31578254699707,16723.7890625,0.2137452512979507,0.1715811729333612,1.99677836894989,17587.24609375,-21.707514060173256,,
car_parts_with_missing (ME),0.58,2.99s,0.024675590917468,0.1338994950056076,13389.9482421875,13389.9482421875,0.157084658741951,15708.465874195095,1.9996201992034912,13389.9482421875,13389.94950056076,,
electricity (W),0.66,0.5s,84294088.0,670.1434326171875,0.6281120181083679,16702.03515625,9181.181640625,0.0277522243026582,1.9066163301467896,205.3894958496093,1.0005484827255255,,
hierarchical_sales (D),0.9,0.22s,0.4668669998645782,0.4229911267757416,1.190596342086792,8809.7080078125,0.6832766532897949,0.0667929249380931,1.8036607503890991,0.1055179387331008,-3.976076737422468,,
kdd_cup_2018_with_missing (D),1.08,0.43s,0.4801678359508514,0.406242161989212,1.4104912281036377,10150.95703125,0.692941427230835,0.0340770804953835,1.8425010442733765,0.1734642833471298,-2.280918302705925,,
LOOP_SEATTLE (D),1.13,0.5s,0.6134179830551147,0.5059168338775635,3.0927038192749023,10673.720703125,0.783210039138794,0.0331757751805067,1.8612024784088133,0.1058104261755943,-7.301689346182965,,
SZ_TAXI (H),1.14,0.29s,0.4677931070327759,0.4296532273292541,1.002686858177185,9919.7001953125,0.6839540004730225,0.0596565185897341,1.8430001735687256,0.0948102101683616,85.13545565039159,,
ett1 (H),1.22,0.15s,0.1355438977479934,0.1979636400938034,3.063187837600708,14486.1767578125,0.3681628704071045,0.0496718389514035,1.983390212059021,0.512479841709137,12.939105197520448,,
ett2 (H),1.26,0.15s,0.355162501335144,0.2562243044376373,2.777869462966919,14471.5625,0.5959551334381104,0.0861516062501054,1.9884074926376345,0.0735671669244766,2.782024553505087,,
jena_weather (H),1.65,0.15s,0.7593508362770081,0.3370769023895263,1.182328462600708,7531.78662109375,0.8714073896408081,0.0646120192046349,1.9661555290222168,0.0549071468412876,2.077227526390641,,
