dataset,size_in_MB,eval_time,mse,mae,mase,mape,rmse,nrmse,smape,msis,nd,mwsq,crps
us_births,0.13,1.57s,0.2870462841539662,0.3793057607744872,,-0.2161447052848352,0.5234739684916604,0.1373251668863486,0.3927622648559099,0.0894495834288772,0.4413215243968063,0.2438703042323625,0.2819088584239659
ett1,4.4,111.92s,0.7105196838112205,0.560637637536781,,-0.925634173242654,0.8117377026710316,0.1526719893542623,0.9388246683227364,0.1073110594019429,-0.7821183200324952,0.1817923242698913,1.0955610131561626
ett2,4.57,112.05s,0.1416330389838585,0.2588573274904921,,0.8236045817409674,0.3554547396013915,0.1144719092499981,0.6627818158352301,0.0950223372396837,-0.7696891261858805,0.0737879940845266,0.1764186652357968
saugeenday,0.38,5.42s,1.2776911104659672,0.5278710427997853,,-1487.0354849420742,0.8538174500077405,0.2481247574649318,0.9702858261233231,0.1748205586625241,-0.4305991943000549,-0.0554243945056263,0.5704906113940793
solar,33.4,26.22m,1.235932882205253,0.7314401059560383,6.367999030786923,-1.8919236950714435,0.9947005778220672,0.3598184823666266,0.9533582830992132,0.411621678325518,12.15314503618747,-0.2552543642591673,1.5795592331325905
jena_weather,7.18,238.59s,0.2056210086663429,0.2311811236544808,,1.440717149824322,0.4237418056452304,0.0944949946994662,0.541125974607108,0.0788462611865201,2.310882343208412,0.0286225288321758,0.250351434194468
hierarchical_sales,0.9,36.6s,0.953617539099214,0.5560138396823917,0.6470535508475194,0.1999948245403011,0.9740178943491574,0.0577195813247513,1.0429776235279495,0.1137567794877801,14.058965392597427,0.1027732501677559,0.5524415570045632
bizitobs_l2c,1.68,50.49s,0.3495107709959925,0.2841528330433817,,-0.0296171242265563,0.4615674540438883,0.173600829375237,0.4294696953628045,0.1140252089306043,0.3851316294779243,-0.0781295796299565,0.5170576581391749
M_DENSE,3.7,123.31s,0.2537579901353524,0.2799881300577777,0.7139108716464412,-0.4314811509998159,0.4844983468650869,0.0739404810939358,0.5183499441891927,0.0771930192717956,-2.6462343897171845,0.0818464279361659,0.2115900620727243
covid_deaths,0.27,26.78s,33.97241936309367,1.3828122012859414,0.3387430686928236,0.1183716124870794,5.828586394924044,0.0499501325343243,0.1673669513363456,0.0314042484938322,0.4058235284542886,6.843715455027792,190.9993763702524
bizitobs_application,0.33,3.95s,1.9509921861079864,0.7861057269240088,,-1.5901909518295687,0.9907001338579864,0.3544684249304889,0.8109959880133651,0.2439241313375507,-2.697752903409475,-1.0495061078241037,4.425228317481789
hospital,0.35,76.63s,0.953721398615818,0.7445346034658511,0.5919097229727698,37.6759054822504,0.9765866057937812,0.0961841486971731,1.147123432679925,0.1324555540490581,3.224827975588964,0.3200236459800895,0.9044522254190828
car_parts_with_missing,0.58,266.75s,1.9402619406941743,0.4856062584899232,0.5618177113570095,28.80400912314457,1.3929328557738074,0.0212856178126307,0.4941957440131735,0.0623155239238761,-18.06953910565157,-0.00390084128912,1.4381330569111306
electricity,442.39,189.52m,38.72000567646988,0.6845956341832373,0.2660123238610609,289.15413679082906,5.288653924185727,0.0116221677429559,0.7285886247066781,0.4160978623102483,0.6125603565733717,-20.611338514826063,20894.28911034535
kdd_cup_2018_with_missing,14.28,618.92s,0.933398843840095,0.5665882662284445,1.072883698912581,-0.3790247809730463,0.8928653232577549,0.0705905335858563,1.0512185557343772,0.1471046143416441,0.8706317031425665,0.0338765638458291,0.6825745909351315
LOOP_SEATTLE,324.08,125.41m,0.8074164040157511,0.5356264533050005,0.6988671776856606,0.7478801786517787,0.8486501049988154,0.0795780294608225,0.9098044303876336,0.1276604727103291,-4.79441848958074,0.0411879582774868,1.4097058753482632
SZ_TAXI,4.58,102.63s,0.3401468265888868,0.4031654087552964,0.6275922449537767,11.724961501527892,0.5825371972940592,0.0697116811422975,0.7512026035909679,0.1156627273060137,-0.8603723484343103,0.1302476981419566,0.3073242193813439
restaurant,1.77,87.01s,26.84571060829681,1.0143654912627171,0.5609345122303704,2.2440503895750874,5.181284648453201,0.0259809289359577,1.0899747015406382,0.2060794332044474,1.1924841543544231,0.5496943603425833,28.198433843297
m4_hourly,2.43,91.62s,0.1330024445350363,0.1856911838944842,0.2427037143177926,0.0581317215835505,0.3621314609468716,0.042884102248609,0.3835385438646692,0.052224450836592,0.654307390544751,0.0626956557106248,0.125989630092621
bizitobs_service,3.07,82.74s,1.559719747777555,0.7264469375222222,1.105538869224135,0.7068191455449127,1.0686495968170815,0.1992578095745553,0.8629529686963197,0.1828449879216842,4.631942074788736,-0.7254186129007735,3.398442643692591
bitbrains_rnd,63.69,30.37m,278.2922182731961,0.5272986096562237,0.322008957072095,5170.129285541971,8.733073700237732,0.0152265517138117,0.4862289586050617,0.1062349871623913,1.0515614915058835,-50.59979600971759,29489.30033181647
m4_weekly,7.18,178.56s,0.0180509394624994,0.0189857705170139,0.0189050052866573,0.0019245933274041,0.1112223384537258,0.0132711155757956,0.0141149331533062,0.0157313371259451,0.0416992197662517,0.0102980984314247,0.0466218957791567
bitbrains_fast_storage,160.06,77.61m,8089.780371741815,1.3520499803515469,0.3747786010355874,46.36316910587976,30.81899675724925,0.0192397601756397,0.5528663509714712,0.4170800393354299,-1.353438465035398,-1054.5121860280844,6307728.115963976
m4_yearly,51.4,38.36m,0.0051302325217353,0.0029616185478912,0.0140668920500215,0.014369039398809,0.0716256415101135,0.0033220593380371,0.0105802037984093,0.015982953111992,0.0118224009449409,0.0002192527834404,0.0063712481479484
temperature_rain_with_missing,113.99,59.28m,6.36955157349077,0.7560084063170152,0.7246655642779415,2.631147627281248,2.5237970547353386,0.0034015117259384,0.738976024259203,0.093969045198575,1.842991836160381,0.05934326521322,1.856745496620862
m4_quarterly,163.93,39.85m,0.0007019135547523,0.0005657690768257,0.0026010995212076,0.0003507751184931,0.0264936512159486,0.0042736061556914,0.0006772096998537,0.0104773892190173,0.0026368468135803,7.414506899458011e-05,0.0007342773434475
m4_daily,316.28,141.8m,0.0009218518762387,0.0002575526743652,0.000601176410982,1.2251814619225742e-05,0.0204773648640897,0.0019428620541476,0.0002124156860803,0.0044751748934386,0.0011917131470484,-0.0002002519482013,0.0034852520294285
m4_monthly,1025.34,397.66m,0.0005356206175507798,0.00012916911709129198,0.0006507923054069495,-1.1452964454887711e-05,0.022491979214252562,0.00121642419236277,0.00010736316027018948,0.008269290400546988,0.0014770803469966675,0.00039556796249013045,0.0038783352055181976
