dataset,size_in_MB,eval_time,mse,mae,mase,mape,rmse,nrmse,smape,msis,nd,mwsq,crps
us_births (M),0.0,0.26s,0.0469331257045269,0.0245261006057262,0.983124852180481,0.1849082857370376,0.2166405469179153,0.0606071286635863,0.3136320412158966,2457.217529296875,1.0001066608438942,,
ett1 (W),0.01,0.27s,0.0670214816927909,0.0680913180112838,0.5938838720321655,0.1770760267972946,0.2588850855827331,0.0604860481173963,0.3784884214401245,0.0113183036446571,13.605348595585252,,
ett2 (W),0.01,0.26s,0.1741187423467636,0.1021774187684059,0.5133547186851501,0.3896964192390442,0.4172753691673279,0.0613075549104121,0.4377534985542297,0.0125496108084917,-0.6573553035192732,,
saugeenday (M),0.02,1.02s,0.0147482426837086,0.0104784658178687,1.0255438089370728,0.1093523502349853,0.1214423403143882,0.0246176540313836,0.2288037091493606,1087.9429931640625,-15.495872648221535,,
us_births (W),0.02,1.47s,0.0196240544319152,0.0145208276808261,0.6982958316802979,0.1551779806613922,0.1400858759880066,0.0345455468618481,0.2659468054771423,2687.662109375,0.714050794254581,,
ett1 (D),0.05,0.61s,0.0849475190043449,0.0774221494793891,0.6829198002815247,0.1491615623235702,0.2914575636386871,0.0409068148418816,0.370927482843399,0.0230760481208562,37.19595345512211,,
ett2 (D),0.05,0.49s,0.1526618748903274,0.0984543189406395,0.5820711851119995,0.173407033085823,0.3907196819782257,0.0520630918848312,0.3652094304561615,0.0328069739043712,-0.7507403332750386,,
solar (W),0.06,0.7s,0.3385293483734131,0.3953697681427002,2.012068033218384,-1.0926722288131714,0.581832766532898,0.1879595049975641,0.8249495625495911,0.1504873037338256,-0.8180154963881773,,
saugeenday (W),0.07,6.82s,0.017284395173192,0.0098348129540681,0.9754614233970642,0.1165607497096061,0.1314701288938522,0.0117444112639239,0.2292452156543731,1064.36083984375,32.020885087732644,,
jena_weather (D),0.08,0.26s,0.4461028575897217,0.2888902127742767,1.1433098316192627,-0.4343129694461822,0.6679093241691589,0.0438991978010039,0.6291244029998779,0.0615952052175998,-6.027652083420433,,
us_births (D),0.13,16.6s,0.016859732568264,0.0133043425157666,0.7950576543807983,0.015121298842132,0.1298450380563736,0.0201145453991546,0.2798978090286255,2399.68212890625,1.772662756038975,,
hierarchical_sales (W),0.15,0.49s,1.1032949686050415,0.6678270101547241,0.7787802815437317,-0.2592039406299591,1.050378441810608,0.0587081912083629,1.2033673524856567,0.1188364624977111,-4.7887332102493305,,
bizitobs_l2c (H),0.18,5.18s,0.1140130683779716,0.0944352895021438,1.2964223623275757,0.0448632538318634,0.3376582264900207,0.0410969499459093,0.275805652141571,0.0018112994730472,-43.57523591631536,,
M_DENSE (D),0.21,0.69s,0.6599177718162537,0.4499979019165039,1.6254125833511353,0.1941371411085128,0.812353253364563,0.074929706278487,0.8791477680206299,0.0957659482955932,-12.22682395487469,,
covid_deaths (D),0.27,2.24s,2526.121826171875,15.654495239257812,0.6176470518112183,0.5333730578422546,50.26054000854492,0.0687482792436985,0.8818761706352234,0.081499233841896,0.8923451165013979,,
bizitobs_application (10s),0.33,40.76s,0.0317143015563488,0.023255256935954,0.771091103553772,-8.387896537780762,0.1780851036310196,0.0292549272917092,0.1583029925823211,2176.161865234375,-7.937683135019012,,
solar (D),0.35,1.49s,1.038826584815979,0.6574079990386963,2.536269187927246,1.4319617748260498,1.019228458404541,0.2590752154502924,1.2444651126861572,0.1777056902647018,-1.5752825757948137,,
hospital (ME),0.35,4.4s,1.8646297454833984,1.0390050411224363,0.7106813192367554,35.79023742675781,1.3655145168304443,0.0622145554025414,1.2578766345977783,0.1273369640111923,1.868395695573274,,
saugeenday (D),0.38,120.18s,0.0180988106876611,0.0105823501944541,1.118381142616272,0.102086529135704,0.1345318257808685,0.0080333477588536,0.2212738990783691,864.545654296875,64.92250361062824,,
car_parts_with_missing (ME),0.58,21.4s,3.5556981563568115,0.8814246654510498,0.841040849685669,2245.123046875,1.8856558799743648,0.0130394719147908,1.6444664001464844,0.1163924783468246,10.445918330062115,,
electricity (W),0.66,2.98s,231350681600.0,33611.11328125,0.3989854454994201,36788.98828125,480989.28125,0.0324249962282131,1.2979296445846558,0.7840292453765869,0.8006802077929641,,
hierarchical_sales (D),0.9,6.13s,0.9645678400993348,0.610886812210083,0.830234706401825,-0.0141591047868132,0.9821241497993468,0.0112084922511458,1.302215337753296,0.1268036961555481,-12.15088636629144,,
kdd_cup_2018_with_missing (D),1.08,1.96s,0.8443799614906311,0.5089293122291565,0.8750379681587219,-0.1028765514492988,0.91890150308609,0.026423027445044,1.0007576942443848,0.1119600459933281,-4.857062466993302,,
LOOP_SEATTLE (D),1.13,2.01s,1.1608164310455322,0.7672717571258545,2.2135884761810303,-0.2031948417425155,1.0774118900299072,0.0757262568879474,1.0640236139297483,0.1328028738498687,-3.5458938299442857,,
SZ_TAXI (H),1.14,1.62s,0.1768087744712829,0.2677923440933227,0.5676416158676147,-0.5019075870513916,0.4204863607883453,0.0624827864699234,0.4430662393569946,0.0903791263699531,-0.4250639896581444,,
