dataset,size_in_MB,eval_time,mse,mae,mase,mape,rmse,nrmse,smape,msis,nd,mwsq,crps
solar_weekly (W-SUN),0.06,1.43s,1129800.989103344,797.3298350179629,8.364940752074752,0.1513838663122856,1062.9209702999296,0.0611367782426937,0.1548305236124118,0.0847989102212987,0.156795073626269,158102.45327162047,277.2204323905226
cif_2016 (ME),0.08,0.53s,6259720468.13726,12118.528727958292,2.51954960307628,1208003100.3177986,79118.39525759645,28.820116124036577,0.712897312818754,5.939480497274063,21.18768302975797,3557241641.822565,7443.235193690495
nn5_weekly (W-SUN),0.12,0.54s,393.46090250085086,14.585774382822672,4.266491302117047,0.1159199034460096,19.835848923120253,0.0622294680582932,0.1133780596100462,0.072698941326353,0.1075779239132067,60.46884268403283,5.080810028418294
us_births (D),0.13,1.18s,101109.1292062668,214.0394572360829,0.3194898749195151,0.0227163503878115,317.9766173891829,0.0514858511778374,0.0224844735019116,0.0502092762365501,0.0222199042370751,16260.469200417325,75.04855194120273
tourism_yearly (YE-DEC),0.16,1.04s,695855324.7733326,1634.8818226096437,0.1960613881795015,18652926.469899632,26379.06982388372,0.007019524125426,1.9927206640157,2644710838.2609644,0.1262802962198001,484152396.9444252,1523.5659339801791
covid_deaths (D),0.27,0.75s,1235612.305297068,188.7815795039188,95.21684603075046,0.1331795382025866,1111.580993583944,0.0064187564949142,0.212097643274062,0.0592637522636343,0.0716407284460758,210457.9510689716,68.1105705887413
hospital (ME),0.35,1.42s,3030.402423429389,18.811166917899545,6.017862334144599,0.1912340585244594,55.04909103181804,0.0045536513347904,0.1773644042373637,0.0609818507942569,0.0680587708743332,460.510010150875,6.794811725974562
tourism_quarterly (QE-DEC),0.36,1.06s,4310756.440230307,326.67184796964256,1.5135871638061948,16609704.630621055,2076.2361234287173,0.006376000354279,1.94345700076801,0.5843245827981578,0.1451020798722703,1472463.5651920296,153.9846971588885
vehicle_trips (D),0.36,0.87s,7223.356452032908,18.54509189853694,1.122417191600925,1842534.811728096,84.99033152090247,1.3708115776255918,1.992383221817896,1870920.537509944,97.1499301170154,1547.8529797777355,7.511596386782879
saugeenday (D),0.38,5.31s,1217.0188196238887,14.328554979207873,3.6464569450565048,0.3678245998518392,34.88579681795858,0.0547056551213768,0.3808899073444836,0.078239623408623,0.47812032047302,266.0967146887339,5.471347718092835
fred_md (ME),0.53,4.92s,601869617.2074162,2057.514250098581,4.758006166990717,8.715000497648232,24533.031145934987,0.0077262527063289,0.1092072317566688,0.0811248899856252,0.0593383240502569,127859478.52968372,800.9294389071513
car_parts (ME),0.56,5.77s,1.4176577736380929,0.4370443203524984,11.969854215705013,7218.552095685632,1.1906543468354251,0.0297663512292978,1.9195993768721524,0.1049659418149521,1.086674115418893,0.2901701376840538,0.1783542445157207
