dataset,size_in_MB,eval_time,mse,mae,mase,mape,rmse,nrmse,smape,msis,nd,mwsq,crps
solar_weekly (1W),0.06,2.75s,0.55713016,0.5827845,0.9193981,2312.94,0.7464115,0.241527814113271,1.279668,0.24223992,-0.7101555789460262,,
cif_2016 (1M),0.08,1.09s,4.79622220993042,1.1191126108169556,2.232949495315552,7669.09130859375,2.190027952194214,0.0709856265447052,1.8812631368637085,0.090973824262619,-89.32242458981342,,
nn5_weekly (1W),0.12,1.08s,2.3922371864318848,1.0009725093841553,1.1899375915527344,1442.516357421875,1.546685814857483,0.0906475411054615,1.7222161293029783,0.1542649567127227,-3.767426830290444,,
us_births (1D),0.13,0.71s,0.0336517021059989,0.151817038655281,27.325857162475582,14743.533203125,0.183444008231163,0.0554849329327153,1.9972188472747805,15231.9658203125,59.965669084134255,,
tourism_yearly (1YE),0.16,1.42s,1.0759775638580322,0.7509145736694336,709.8499145507812,3395.483154296875,1.0372934341430664,0.0531310641371135,1.0066295862197876,0.2932159602642059,-0.6346815359582841,,
covid_deaths (1D),0.27,0.85s,8761.462890625,3.141115188598633,4.273681640625,14859.7431640625,93.6026840209961,0.0162782355205312,1.9895230531692505,1.476721167564392,1.0483660517334383,,
hospital (1M),0.35,1.34s,2.1187047958374023,1.0012705326080322,1.0728511810302734,1518.9754638671875,1.4555771350860596,0.0446312104551212,1.7474713325500488,0.135364681482315,3.2008420339431023,,
tourism_quarterly (1Q),0.36,1.2s,29.753582000732425,3.124391555786133,1.7342491149902344,456.3225402832031,5.454684257507324,0.0747293067958182,1.7171670198440552,0.1756040006875991,1.0298862920506142,,
vehicle_trips (1D),0.36,1.35s,18.384183883666992,0.709293007850647,2.246061325073242,20468.33984375,4.287678241729736,0.02245668686585,1.879390835762024,0.1616765558719635,5.000655293509141,,
saugeenday (1D),0.38,0.76s,0.3124355673789978,0.2036107331514358,28.51386260986328,16874.26953125,0.5589593648910522,0.0582417827571362,1.9996287822723389,20206.2734375,5.970269635177577,,
fred_md (1M),0.53,0.45s,6.5625529289245605,1.7052522897720337,4.985159873962402,8391.3681640625,2.5617480278015137,0.1829576307677099,1.8083301782608032,0.1668658256530761,1.2715349480369065,,
car_parts (1M),0.56,4.48s,3.691395998001098,0.7357101440429688,1.0231982469558716,3912.867431640625,1.9213006496429443,0.0120119613194862,1.7561115026474,0.0970971286296844,15.200462193629782,,
traffic_weekly (1W),0.66,1.17s,7.349606513977051,1.2065640687942505,1.4027974605560305,826.66796875,2.7110157012939453,0.0360857042045679,1.5174293518066406,0.1373468190431594,2.7181206916176945,,
bitcoin (1D),0.72,0.25s,0.1237392500042915,0.2868958115577698,25.73795509338379,26060.74609375,0.351765900850296,0.1303279725756736,1.977872967720032,1.0599027872085571,22.854588971117472,,
tourism_monthly (1M),0.78,0.64s,1.5662906169891355,0.5129481554031372,1.1300078630447388,6100.40478515625,1.25151526927948,0.0303415244706523,1.89304268360138,0.076696291565895,2.500350122152087,,
nn5_daily (1D),0.85,0.35s,0.3261348903179168,0.2673821151256561,1.2734382152557373,11132.4736328125,0.5710822343826294,0.0495283246707147,1.9464800357818604,0.0659900605678558,129.1232018653477,,
sunspot (1D),1.19,0.41s,0.0698287338018417,0.2156486213207245,672.8484497070312,21189.58203125,0.2642512619495392,0.4585308196784577,1.998434901237488,21414.615234375,-72.08688126226609,,
rideshare (1h),4.01,3.8s,25.14054298400879,1.1094075441360474,2.419894933700561,12233.5947265625,5.014034748077393,0.0192455103716894,1.9561517238616943,0.0673308223485946,-1.2555885759067225,,
oikolab_weather (1h),6.78,0.3s,0.1821108907461166,0.2105907201766967,21.31402015686035,16262.7001953125,0.4267445206642151,0.0508019842672087,1.99454402923584,21048.494140625,-26.40310529966788,,
kdd_cup_2018 (1H),17.6,0.48s,70.37008666992188,0.5598122477531433,2.7799301147460938,15287.068359375,8.388688087463379,0.0127827673606529,1.948464035987854,0.1162315011024475,1.7011658157014553,,
australian_electricity_demand (30min),22.54,0.16s,34425.07421875,100.96638488769533,0.0478917583823204,0.0400716699659824,185.5399475097656,0.0304397516245095,0.040122453123331,0.0215137302875518,0.0387157535278748,,
pedestrian_counts (1h),33.02,0.44s,1.2072677612304688,0.2849870026111603,3.512889623641968,16806.091796875,1.0987573862075806,0.0157932567166886,1.966840744018555,0.150884136557579,10.085724999814484,,
solar_10_minutes (10min),33.4,0.3s,3.576294183731079,0.5063672065734863,1.3629904985427856,8668.8603515625,1.8911092281341555,0.0595624766144689,1.9814037084579468,0.0363504365086555,1.207758901675698,,
traffic_hourly (1h),104.18,1.45s,0.6358243227005005,0.3618080615997314,2.248907804489136,10494.185546875,0.7973859310150146,0.0356483568368512,1.927661657333374,0.052518717944622,2.510382010989376,,
temperature_rain (1D),106.72,72.69s,3.798187017440796,0.4533283710479736,1.1610000133514404,12320.748046875,1.9488937854766848,0.0047840804208083,1.8536553382873533,0.0890497490763664,3.049539429811166,,
solar_4_seconds (4s),181.73,0.16s,0.0497839674353599,0.1707438975572586,17074.388671875,17074.388671875,0.2231232076883316,22312.32076883316,1.999796152114868,17074.388671875,17074.38975572586,,
wind_4_seconds (4s),184.15,0.16s,0.2226256728172302,0.2606168091297149,13.930216789245604,0.0149008519947528,0.4718322455883026,0.4276803607456851,0.014547093771398,0.2362294793128967,0.0143833337875456,,
solar_weekly (W-SUN),0.06,1.23s,2613649.5,1323.654296875,0.6693508625030518,0.2954883873462677,1616.6785888671875,0.0929876515567981,0.2459374219179153,0.1560945957899093,0.2602968894478363,,
cif_2016 (ME),0.08,0.57s,2.48438088269824e+16,24164942.0,0.529144287109375,-6790947.0,157619184.0,0.1061006569987014,0.3862691223621368,1.3119221925735474,1.0425987949397002,,
nn5_weekly (W-SUN),0.12,0.59s,526.0496826171875,16.643291473388672,0.4423228204250335,0.152626484632492,22.935773849487305,0.09043840300272,0.1468626111745834,0.1147332563996315,0.1397824551222061,,
us_births (D),0.13,0.47s,125453.25,224.0967712402344,1.1469569206237793,0.0232583414763212,354.1938171386719,0.194611986369534,0.0235053785145282,0.1303170323371887,0.0234197355303581,,
tourism_yearly (YE-DEC),0.16,1.12s,626538315776.0,114883.2265625,6.17430591583252,55451336.0,791541.75,0.1985845419679679,1.995915412902832,5120532.5,8.419578033066802,,
covid_deaths (D),0.27,0.8s,6316.73779296875,4.253806591033936,0.3160201609134674,15485.8203125,79.4779052734375,0.0260071678708657,1.8261940479278564,1.6646332740783691,0.6146947750308924,,
hospital (ME),0.35,1.28s,12190.8271484375,31.41594314575196,0.098712719976902,0.2542310357093811,110.41207885742188,0.0093943740971222,0.2138737142086029,0.0653802081942558,0.1177930577638136,,
tourism_quarterly (QE-DEC),0.36,0.6s,33464307712.0,24923.12109375,0.3201188445091247,876263.9375,182932.515625,0.0207356028368599,0.6490523815155029,0.1371934711933136,0.5011437758869112,,
vehicle_trips (D),0.36,0.53s,3786.1171875,15.743115425109863,0.1467465013265609,138429.59375,61.53143310546875,0.0625319396986815,0.265616774559021,0.0199973173439502,0.1904516699140672,,
saugeenday (D),0.38,0.16s,56.04891586303711,4.280849933624268,5.092546463012695,0.1538279056549072,7.486582279205322,0.4235107943943523,0.1939872056245803,0.2421647161245346,0.2135968125781259,,
fred_md (ME),0.53,0.23s,2698061.25,272.3404541015625,0.024343978613615,0.1400616914033889,1642.57763671875,0.0051241199304572,0.1023079976439476,0.074644386768341,0.0395752652726106,,
car_parts (ME),0.56,3.01s,1.2259418964385986,0.6074352860450745,1.1054232120513916,36121.203125,1.107222557067871,0.0307561735973926,1.559252142906189,0.1500908434391021,1.490983475777095,,
