dataset,size_in_MB,eval_time,mse,mae,mase,mape,rmse,nrmse,smape,msis,nd,mwsq,crps
solar_weekly (W-SUN),0.06,2.79s,2686042.508457142,1310.882355216114,0.7663750045566586,0.3216493763192726,1638.9150400362862,0.0961911855825693,0.2636615877899071,0.1740170641644368,0.2883809159820656,3062543.5154336765,1222.9707672590598
cif_2016 (ME),0.08,1.78s,62628243952.93638,30852.44104493796,64.92853959296863,3080173353.8769064,250256.3564685948,91.1598021005843,0.7196840323586995,15.04025097659173,53.96642277798524,118234564645.37865,36346.96663814841
nn5_weekly (W-SUN),0.12,2.31s,439.0585039238212,15.428520570057444,0.3305494784598982,0.1213780972743117,20.95372291321572,0.0657364872955067,0.1198433475797887,0.0744546156546931,0.1132916060596116,221.95376699097704,8.098026465820094
us_births (D),0.13,13.24s,148544.30917052337,330.80877266973016,0.4956832832320979,0.0327161574809822,385.4144641428541,0.1545366730543253,0.0333003358676854,0.1134116327781566,0.0330634638096364,29940.91251912848,108.98569093086856
tourism_yearly (YE-DEC),0.16,9.53s,3096659257.8885107,3122.563870109194,0.167819708723769,53743490.81346976,55647.63479150314,0.0139610586046585,1.9926150030561824,2518441244.487445,0.228846935930045,388819641.9498105,1844.5941715723625
covid_deaths (D),0.27,14.75s,465002.6187553331,115.90855738891612,0.0238803577010285,17.342569206663093,681.911005011162,0.0039132937647242,0.1160695839064818,0.061208252312416,0.0436111565731453,35499.54460619334,28.62848900143432
hospital (ME),0.35,14.19s,4912.209362516804,20.816399696787872,0.0638202238139039,0.2026649723849606,70.08715547457183,0.0057975974370581,0.1849859305640661,0.0635866537711744,0.0755683620190005,5286.869272332698,16.41336431574248
tourism_quarterly (QE-DEC),0.36,8.04s,462637587.8483083,1175.4740741488556,0.3596428147461368,95266192.4420903,21509.01178223464,0.0660529239406758,1.9532435447180023,577921966.1715801,0.5251046267092124,809458554.2305733,1760.7884632909877
vehicle_trips (D),0.36,18.22s,6053.532732417053,15.729271898627305,41.70900603905952,1566446.1393474168,77.80445188044867,1.2549103117958946,1.9621932535702304,1636118.396651026,84.32351488785035,6938.3849209810505,16.871479744905702
saugeenday (D),0.38,43.34s,676.9656499788114,14.816139805198343,1.8190835174281623,0.2758280513813023,26.0185635648629,0.3176869400243406,0.366378389465895,0.1192181888849157,0.3918576008099005,42.3529166010602,3.784728037744304
fred_md (ME),0.53,35.05s,2890205.8464836385,260.36338860820285,0.0084182660104221,0.0093924379549969,1700.0605420053837,0.0031451796717044,0.0093341765066132,0.1046662666583692,0.0142141137294058,2837647.4838879723,217.15123277272968
car_parts (ME),0.56,48.55s,1.3672356893530837,0.4359672970604087,0.6990479970430119,9340.409352734605,1.1692885398194424,0.0324802281949211,1.83951951825008,0.1015826922463857,1.114125607474472,1.7123307081502976,0.3068321321821252
traffic_weekly (W-SUN),0.66,15.99s,3.951950137640468,1.1284247583667748,0.2859577362857272,395.0880266995932,1.9879512412633435,0.0586269122784617,0.1253286616478448,0.0639279667254304,0.1171595079869724,2.4358764892127267,0.7272627376082926
bitcoin (D),0.72,133.73s,1.3884249194446824e+29,69726632712672.83,0.0056408394013112,0.1394004362959635,372615743017479.4,0.0034228058633304,0.1344702089709902,0.001141327003182,-0.0116707021947148,1.4223527861006957e+28,15939747262780.11
tourism_monthly (ME),0.78,20.09s,119583758.5533232,1509.0046700146045,0.1326093260423045,63121452.70707656,10935.435910530645,0.0169945295031931,0.7618499334471696,0.1023640344451357,0.1948653138338602,99239085.43563154,1232.096601271019
nn5_daily (D),0.85,60.65s,49.951443571628914,4.549065206983441,0.4704343445308031,0.3318828254246573,7.067633519901051,0.0838585139938526,0.262014908973548,0.0804626068911881,0.2367939989297243,25.35644373896329,2.606956919040328
sunspot (D),1.19,137.37s,1532.3405971988116,31.908238599518164,0.7578531528326061,1111762.6271536995,39.14512226572823,0.3317382961724174,0.9581998216232874,0.2216797390188402,0.7064553107372337,846.2928395001595,17.77450263460953
rideshare (h),4.01,139.91s,6.30030441329166,1.0367706471873188,0.1668744008900821,0.131658029097905,2.510040719448922,0.0272889807192771,0.1186185638382562,0.0352004480592093,0.1440727521879712,2.31793818890412,0.5134565051458054
oikolab_weather (h),6.78,26.54m,63846.82197284576,99.4284008333775,0.0037773982127151,0.1473471156572647,252.6792867902824,0.0024131807730038,0.1612115030764769,0.0010142229389897,0.0076869367316044,20142.53795368352,38.05917635144259
kdd_cup_2018 (h),17.6,93.15m,1970.9415201848592,21.139718914665902,0.4765501158767503,1791.0835739756428,44.39528713934464,0.0766505681711189,0.6967512158679983,0.0933023533932763,0.6549043990236246,1468.4066075205822,12.442400441138831
australian_electricity_demand (30min),22.54,43.83m,567433.3754974568,477.7518054801641,0.2059004625498015,0.1447154463915088,753.2817371325664,0.1026885648123407,0.1528537187131119,0.0838691234661612,0.1599447060959512,321160.788932239,304.30348247861303
pedestrian_counts (h),33.02,181.48m,13306.600393631254,52.64452251393041,0.1218366319077622,0.1006967059072835,115.35423873283224,0.0223480545242432,0.2224004482264213,0.032463559465818,0.1637485326709963,7098.200456392595,30.155520210515125
solar_10_minutes (10min),33.4,263.2m,88.48250131024085,5.527601464184177,0.5011031052142162,14891.751553932012,9.406513770267964,0.1510275014595928,0.8726499243308642,0.1954178068776886,1.189242868740925,72.97756072796498,3.7264856669657576
traffic_hourly (h),104.18,500.48m,0.0005672104505312,0.0076584333317536,0.2391935987885364,0.1054147846298602,0.0238161804353937,0.0207304426730557,0.1108358335928208,0.0492329134034907,0.1362360586199279,0.0002516485982223,0.0041591305271444
kaggle_web_traffic_weekly (W-SUN),104.91,43.93m,677892827.0147512,1691.4187696247538,0.1595084289190292,8499.63418499623,26036.37507439834,0.0002200898408936,0.3371334655331288,0.2450930849495848,0.2409490198886611,1230054370.500565,1083.4803607546835
temperature_rain (D),106.72,193.2m,731.8126906485586,5.994333053214229,0.4581582907670293,0.249426455236986,27.05203671904499,0.0036437877732579,0.7951260719877393,0.0656396716800804,0.694280646566257,131.2446799187715,2.7762765877611284
solar_4_seconds (4s),181.73,265.02m,3.56522408907416e-10,1.5385409490183596e-05,1.5385409490183597,1.5385409490183597,1.888180099745297e-05,1.8881800997452969,1.0573307614461165,1.5385409490183597,1.5385409490183597,0.0174618302899513,0.0159100078192055
wind_4_seconds (4s),184.15,295.86m,3.108434090470448,1.6458506820258083,12.77600689413882,0.082432241288121,1.763075180039254,0.5342635870919336,0.0786722471393581,0.6037483766474667,0.0811029831305508,5.187621701262427,1.674276021405027
kaggle_web_traffic (D),639.07,1270.6m,2452766448416.5938,20043.06505466295,0.2945624155387484,2.4090639022504874,1566131.044458475,0.0005082301009184,0.5116392842774276,7.789624846643337,0.4552229022450239,2109413088817.9573,14272.143354708753
wind_farms_minutely (min),835.99,3349.23m,16.206971220492438,0.7136967852770562,0.01016127294468,0.0144428278254881,4.0257882731823385,0.0061153134085223,0.0171983034046891,0.0055462004428248,0.0083765532898652,12.73310756721593,0.5549177864411421
weather (D),1180.74,2492.3m,23.087079294192066,0.439816757352804,0.1122044159908935,0.0945781357281407,4.804901590479462,0.0086673611775302,0.0876364243794467,0.0231344848805682,0.1041779335046077,2.903852911979907,0.1878783622366809
london_smart_meters (30min),3320.44,3741.43m,0.03770092519089747,0.06858494003555611,0.34924000237493363,0.18583567346423074,0.19416726086263222,0.02156993541305781,0.3390876444619527,0.06292257504196916,0.3876900925724542,0.009841871269252902,0.033366993650749494
