dataset,size_in_MB,eval_time,mse,mae,mase,mape,rmse,nrmse,smape,msis,nd,mwsq,crps
solar_weekly (W-SUN),0.06,1.29s,2592837.2842873875,1297.3508423230162,0.7584641396237056,0.3182628572201514,1610.228953996104,0.094507542099825,0.2616944820956398,0.1732048688065137,0.2854041194242301,3067879.1077986285,1222.906596539415
cif_2016 (ME),0.08,0.35s,440006120395.6984,87644.63869344856,184.4469416611261,8760228239.79083,663329.5714768779,241.6281980469334,0.7137134652970639,43.46840019916114,153.30610693219202,1234917132503.688,69986.05877473997
nn5_weekly (W-SUN),0.12,0.58s,422.8390069773735,15.121055943146157,0.3239621798521734,0.118074430074214,20.56304955441613,0.0645108581128652,0.1169462057130352,0.0733396349250508,0.1110338937124601,196.7765139748413,7.776787168590935
us_births (D),0.13,0.95s,52661.58367055347,200.63151340006223,0.3006259068626792,0.0205851647726063,229.48111833123323,0.0920132788336409,0.0203984204757115,0.0718810150554486,0.020052590289068,57209.26618239745,166.54203921553858
tourism_yearly (YE-DEC),0.16,1.8s,3345850415.7439404,5243.735074141897,0.2818203660110661,267874578.00830343,57843.32645814848,0.0145119208317891,1.992814829118441,2631585444.8611894,0.3843036538126334,597048564.3162035,2702.034990271552
covid_deaths (D),0.27,1.1s,258715.6396286362,92.7207467955184,0.0191030295748915,10.245876603346588,508.6409732106097,0.0029189462177924,0.1331651718910237,0.0620440825257658,0.0348866304367014,13617.633740316274,25.832030462509955
hospital (ME),0.35,2.53s,2951.903532340298,18.347271113132013,0.0562502145361448,0.1926531183377787,54.33142306566521,0.0044942859641593,0.1769421176237485,0.0619426179669549,0.0666048522190825,3453.657907125514,14.2452307488045
tourism_quarterly (QE-DEC),0.36,1.46s,7631529.537887486,595.4091946168725,0.1821687465398113,46889613.98011605,2762.522314459647,0.0084835453236459,1.9524808613316151,515340109.0345935,0.2659795990012903,36374047.2324784,950.709492624705
vehicle_trips (D),0.36,1.17s,8742.547457649487,20.441511299366788,54.20436010818776,2035962.5576328647,93.50159066908697,1.508089928841735,1.9800566257306744,1767637.6505492786,109.5854972494146,7675.782519168141,18.98224725650913
saugeenday (D),0.38,2.66s,553.1162531832954,12.997252402798884,1.595765693942068,0.2401800950913069,23.51842369682321,0.2871602054361557,0.3018472346485849,0.1008914260238069,0.3437516256356157,201.3963701034969,6.99938452748017
fred_md (ME),0.53,6.23s,4554827.976683796,329.3642522549625,0.010649254123737,0.0111321896105553,2134.2042959107257,0.0039483628970323,0.0110036213958499,0.1063500874907228,0.01798110312275,4085504.316876386,279.2315092146548
car_parts (ME),0.56,8.68s,1.267947140155946,0.423697348680169,0.6793738542876685,8034.820622604166,1.1260315893241832,0.0312786465704921,1.8916694515389487,0.0970572771935219,1.0827694397412744,0.4038145773681188,0.2515464093880478
traffic_weekly (W-SUN),0.66,2.9s,3.9247793496052616,1.127152020020677,0.2856352075804363,396.0326861792962,1.9811055876972488,0.0584250262750338,0.1247979909938254,0.0638056625892363,0.1170273650174751,2.296686396364492,0.7032319656885364
bitcoin (D),0.72,7.92s,1.3851691006318224e+29,69610316359081.85,0.0056314294836825,0.1370597124203283,372178599684589.94,0.0034187903143608,0.1614442582971268,0.0011612882731708,-0.0116512333996458,6.00905918305807e+27,12084495774231.04
tourism_monthly (ME),0.78,1.28s,115138096.98869002,1260.3014805778623,0.1107536200984264,65619826.0804288,10730.24216822202,0.0166756422511379,0.7488591306486245,0.1001184916722312,0.1627490281628532,96876931.03530292,1097.3764735759653
nn5_daily (D),0.85,1.59s,45.22499683400807,4.094617819488658,0.423438390607863,0.3075091163648855,6.7249532960466025,0.0797925626019761,0.23951960902442,0.0752149077381189,0.2131384984495688,24.12657969484468,2.499608556283172
sunspot (D),1.19,8.16s,1879.8208351278504,35.33642978735555,0.8392761838191789,700572.4276528909,43.35690066330677,0.3674313304151988,1.1576802494184724,0.248457211282851,0.7823562058404463,422.47379695809457,12.33673942613608
rideshare (h),4.01,5.24s,4.401001913607208,0.865246121026857,0.1392665084226068,0.1256580285792525,2.097856504531997,0.0228077438188145,0.0966715457395812,0.0363426321799361,0.1202371906597613,2.482946080773244,0.5485413425776132
oikolab_weather (h),6.78,55.21s,60329.179500901664,96.69821778217216,0.003673675448479,0.1455718207014211,245.6199900270776,0.0023457618743822,0.1507659551640342,0.0010500339121668,0.0074758627909153,28179.6004168958,44.27311567683263
