dataset,size_in_MB,eval_time,mse,mae,mase,mape,rmse,nrmse,smape,msis,nd,mwsq,crps
solar_weekly (1W),0.06,0.7s,1.3988211154937744,0.91600239276886,1.5458827018737793,-0.7656228542327881,1.1827176809310913,0.4064341473373669,1.4792702198028564,0.4341770708560943,-1.2266530751609337,,
cif_2016 (1M),0.08,0.55s,6.545669078826904,1.343870997428894,3.9534099102020255,-0.00933179538697,2.55845046043396,0.069877693018643,0.7147252559661865,0.0875509828329086,-1466.3242474669391,,
nn5_weekly (1W),0.12,0.49s,1.7520450353622437,0.9541510343551636,1.0868446826934814,0.7561516761779785,1.3236483335494995,0.1407169144325989,1.2309998273849487,0.1161348819732666,1.6034220729905373,,
us_births (1D),0.13,54.06s,0.0159488450735807,0.0130975423380732,1.1550896167755127,-0.1392997205257415,0.1262887418270111,0.0195636326879018,0.1026146560907363,2354.62744140625,1.71883753109232,,
tourism_yearly (1YE),0.16,2.1s,3.56056547164917,1.5736219882965088,715.8680419921875,-0.8474381566047668,1.886946082115173,0.0933262083297813,1.4369211196899414,0.358586698770523,-0.9478607834606614,,
covid_deaths (1D),0.27,1.16s,3557.487060546875,20.674468994140625,49.37272262573242,0.8411641120910645,59.64467239379883,0.0815842526250348,0.8856794238090515,0.0969743132591247,0.8685581696281686,,
hospital (1M),0.35,2.82s,2.024125099182129,1.078792929649353,1.1011804342269895,16.25428009033203,1.4227174520492554,0.1072754030081362,1.3363966941833496,0.1306593120098114,2.022076813814543,,
tourism_quarterly (1Q),0.36,1.65s,14.379294395446776,3.116183042526245,33.51498031616211,-1.73103928565979,3.792004108428955,0.1048896272565427,1.6957045793533323,0.382441759109497,-1.850251070704766,,
vehicle_trips (1D),0.36,1.41s,3.5303359031677246,1.154481053352356,162.26605224609375,-0.5684612393379211,1.8789187669754028,0.0890248611167094,0.905729353427887,0.104294940829277,-0.677820671785667,,
saugeenday (1D),0.38,185.53s,0.016956677660346,0.0095159644261002,5.099930763244629,0.0381901450455188,0.1302178055047989,0.0077757430997683,0.1075708419084549,956.0369873046876,57.65071425206276,,
fred_md (1M),0.53,7.94s,205.455078125,2.7924537658691406,20.967544555664062,0.1768457442522049,14.333703994750977,0.0512047346165328,0.5596998333930969,0.1076751500368118,0.632347032854926,,
car_parts (1M),0.56,9.91s,4.2449727058410645,0.679968535900116,0.8603194355964661,361.6725769042969,2.060333251953125,0.0142473809029873,0.9980092644691468,0.0781594142317771,9.21876799818671,,
