dataset,size_in_MB,eval_time,mse,mae,mase,mape,rmse,nrmse,smape,msis,nd,mwsq,crps
solar_weekly (W-SUN),0.06,2.97s,1061027.75,861.0410766601562,9.581634706024303,0.1802081316709518,1030.06201171875,0.0592468089125329,0.1684216260910034,0.097662441432476,0.1693239046408053,159182.09580654235,308.3721786016385
cif_2016 (ME),0.08,1.69s,56634372096.0,33805.4921875,3.453139517169559,78515.015625,237979.765625,86.31058085032942,0.7223620414733887,9.990985870361328,59.13585254389413,102480467225.61296,41365.01798428472
nn5_weekly (W-SUN),0.12,2.2s,451.1351013183594,15.791781425476074,4.8959060152008655,0.1228149980306625,21.239940643310547,0.0666344168053212,0.1223130002617836,0.0754418149590492,0.1164728766059667,80.07805583707487,6.096344560187858
us_births (D),0.13,12.07s,123647.15625,229.80401611328125,0.3414305265110288,0.0242692045867443,351.6349792480469,0.0569357154596324,0.0239784866571426,0.0535902306437492,0.0238564577776578,25105.093157841235,92.89088063830076
tourism_yearly (YE-DEC),0.16,8.93s,834907648.0,3129.4580078125,1.1093084427073587,98174.5078125,28894.767578125,0.0076889559023185,1.992700338363648,1282862.0,0.2417232308567875,135067829.95027667,1479.3506759279414
covid_deaths (D),0.27,4.89s,565387.25,133.8635711669922,117.968937969494,42.94479370117188,751.92236328125,0.0043419297206778,0.1423987001180648,0.0606922842562198,0.0507998925104856,112594.17659990324,57.4991234699255
hospital (ME),0.35,12.68s,2925.710205078125,19.718223571777344,6.802180098914044,0.2045378684997558,54.08983612060547,0.0044743019336473,0.1866043508052826,0.0608403123915195,0.0713405030046175,475.2621378164927,7.665958479118921
tourism_quarterly (QE-DEC),0.36,7.65s,14530729.0,837.29931640625,1.814700016923676,4431581.0,3811.91943359375,0.011706180583173,1.943405032157898,0.6738478541374207,0.3719141812241337,4140276.422445513,417.6356411342785
vehicle_trips (D),0.36,5.73s,6651.72900390625,18.15358543395996,1.2172414648286958,2940209.75,81.55813598632812,1.3154530275066512,1.9916496276855469,515871.125,95.09918459517944,1605.393587573897,8.391853840833402
saugeenday (D),0.38,39.8s,1257.2252197265625,14.40954875946045,3.679087948500038,0.3526163399219513,35.45737075805664,0.0556019647435732,0.3943761885166168,0.0757919698953628,0.4808229324459421,322.3331646396868,6.239095134956398
fred_md (ME),0.53,36.86s,155716720.0,1095.3123779296875,2.638677003956925,6.42306661605835,12478.650390625,0.0039299345351328,0.0627646818757057,0.0845784246921539,0.0315886001944133,28721982.93510916,447.7609103764416
car_parts (ME),0.56,45.84s,1.2987533807754517,0.4736465215682983,22.958491021411813,14905.50390625,1.1396286487579346,0.028490709096271,1.8494691848754885,0.106517419219017,1.1776823968943329,0.3200612764183844,0.2002891587833249
traffic_weekly (W-SUN),0.66,14.36s,2.325014591217041,0.9265475869178772,7.190479781274047,336.4989929199219,1.5247998237609863,0.0449680565017463,0.0952479317784309,0.0616295412182807,0.0935169655563632,0.4737893751217003,0.3718313061643981
bitcoin (D),0.72,123.82s,inf,1.424057653222441e+17,12.022594169669988,-41498.0546875,inf,inf,0.2392915487289428,2.08360242843628,0.0924162199587036,4.661177010263905e+35,5.575431519837361e+16
tourism_monthly (ME),0.78,6.15s,80876520.0,1208.8358154296875,1.731333173253924,-3176356.25,8993.1376953125,0.0139760449551069,0.7486121654510498,0.0969681814312934,0.1524559976686453,21235275.16848789,520.1272553405005
nn5_daily (D),0.85,43.84s,28.67046165466309,3.201496124267578,0.4836852663874821,31753.9375,5.354480743408203,0.0557975416049323,0.2125966548919677,0.0576028414070606,0.1692478895405652,6.32228236773863,1.3171805817235225
sunspot (D),1.19,119.78s,1593.768798828125,26.527158737182617,1.7951213182033416,374446.625,39.92203521728516,0.0756099137522462,0.7385608553886414,0.0919721350073814,0.3338737887968636,260.6623928823872,10.237632523473806
rideshare (h),4.01,26.69s,4.28650426864624,0.7965956330299377,0.8510922957973954,0.1104244291782379,2.070387363433838,0.0225091004868588,0.0885948911309242,0.0310341529548168,0.1107585909703271,0.7689417781474885,0.3301647516271387
oikolab_weather (h),6.78,21.98m,54784.55859375,52.22899627685547,3.471859878824627,20772.578125,234.0610198974609,0.0022636494766469,0.3237040042877197,0.0005400731461122,0.004090338749283,11475.440861304254,20.72380658143018
kdd_cup_2018 (h),17.6,79.91m,1785.6676025390625,18.40184783935547,2.8446482560631625,255930.671875,42.25716018676758,0.0128285246079181,0.7395115494728088,0.0926982164382934,0.5891545984033942,384.5890376401005,7.260790172446741
australian_electricity_demand (30min),22.54,30.91m,38341.49609375,104.04285430908205,1.2299196419977634,-3325.913818359375,195.80984497070312,0.0149476551455227,0.0378828644752502,0.0167485736310482,0.0298699098684518,7169.663777810854,41.52554544682421
