dataset,size_in_MB,eval_time,mse,mae,mase,mape,rmse,nrmse,smape,msis,nd,mwsq,crps
solar_weekly (1W),0.06,0.87s,752489.75,557.5025,0.5804403,2.455477,867.4617,0.0471882537915461,0.61856735,0.053072058,0.1536462213728214,,
cif_2016 (1M),0.08,0.03s,4496819748864.0,262117.4375,7035.666015625,26207698944.0,2120570.5,772.451050586365,1.2114204168319702,139.9845428466797,814.7173457460926,,
nn5_weekly (1W),0.12,0.04s,412.9100341796875,13.777584075927734,0.860400378704071,1.2613427639007568,20.320188522338867,0.0575473764005769,0.3451373875141144,0.051920112222433,0.1171800602487265,,
us_births (1D),0.13,0.14s,774920.5625,749.2998657226562,1.079309582710266,0.0801891908049583,880.2957153320312,0.1425349277698643,0.0784591287374496,0.1512692719697952,0.0777864587040352,,
tourism_yearly (1YE),0.16,0.19s,4072574976.0,9371.76171875,9.174805641174316,753902912.0,63816.73046875,0.016981761757407,1.969757318496704,2944608768.0,0.8049394050111222,,
covid_deaths (1D),0.27,0.03s,3977120.5,333.5022277832031,17.693937301635742,25.42571258544922,1994.27197265625,0.0115158015934049,0.6798346042633057,0.0594763606786727,0.1522535528720493,,
hospital (1M),0.35,0.55s,5419.22412109375,23.3170166015625,1.0005640983581543,0.2082435339689254,73.6153793334961,0.0060889478306539,0.1936554908752441,0.0582410655915737,0.0844709199142533,,
tourism_quarterly (1Q),0.36,0.04s,687540352.0,4809.1240234375,10.751434326171877,439333312.0,26220.990234375,0.080523135657534,1.9392236471176147,3.4929778575897217,2.2411868137948163,,
vehicle_trips (1D),0.36,0.05s,4858.8662109375,16.659088134765625,214.93820190429688,1656793.75,69.70556640625,1.124283147797073,1.969457983970642,1681903.125,101.85826401285188,,
saugeenday (1D),0.38,0.41s,1242.5223388671875,17.380760192871094,3.849287033081055,0.6814940571784973,35.24943161010742,0.0552758826761708,0.5076281428337097,0.0998007580637931,0.579967369109267,,
fred_md (1M),0.53,0.16s,814031744.0,2271.661865234375,4.098703861236572,16.986513137817383,28531.2421875,0.0089854199366891,0.4137711822986603,0.0847974345088005,0.0783722482977593,,
car_parts (1M),0.56,1.17s,1.2862780094146729,0.4820746183395386,0.833551824092865,15072.5380859375,1.1341419219970703,0.0283535409615415,1.861904978752136,0.1240926533937454,1.204913658689701,,
traffic_weekly (1W),0.66,0.04s,2.178606510162353,0.9004173874855042,0.939781665802002,327.9014587402344,1.4760103225708008,0.0435291994058681,0.1624960601329803,0.0483781658113002,0.0944642034940045,,
bitcoin (1D),0.72,0.33s,inf,inf,inf,inf,inf,inf,,,inf,,
tourism_monthly (1M),0.78,0.03s,112704736.0,2367.056396484375,1.2977303266525269,89226096.0,10616.2490234375,0.0164984879174605,0.8436533808708191,0.101791076362133,0.3132102373206439,,
nn5_daily (1D),0.85,0.07s,75.6475830078125,6.000096797943115,0.9565598368644714,31188.701171875,8.697562217712402,0.0906348557330684,0.5871419310569763,0.1126096695661544,0.3657762648871892,,
sunspot (1D),1.19,1.9s,2263.482421875,33.57451629638672,1.913502216339112,464901.59375,47.57606887817383,0.0901061893505908,0.7567583918571472,0.1112903878092765,0.4225726197802073,,
rideshare (1h),4.01,0.05s,5.570432186126709,1.023034930229187,0.9345336556434632,0.2661929726600647,2.3601763248443604,0.0256540876989509,0.142071932554245,0.0360090173780918,0.1433627069740914,,
oikolab_weather (1h),6.78,9.2s,89783.921875,72.87317657470703,5.005366802215576,55771.1953125,299.6396484375,0.0028978731002085,0.3530401289463043,0.0006117020966485,0.0057070918994542,,
kdd_cup_2018 (1H),17.6,43.33s,1443.7083740234375,16.11660385131836,2.632657766342163,268924.46875,37.99616241455078,0.0115349612323015,0.967480719089508,0.0953071042895317,0.6115428402805015,,
australian_electricity_demand (30min),22.54,7.41s,107249.4765625,196.10948181152344,2.1563868522644043,71741.046875,327.4896545410156,0.024999776801508,0.0715896040201187,0.0272345002740621,0.0563015166401996,,
pedestrian_counts (1h),33.02,139.93s,24884.259765625,40.46586990356445,0.8490180373191833,16420.40234375,157.74745178222656,0.0098721729572254,1.5205281972885132,0.037688247859478,0.2664243914990514,,
solar_10_minutes (10min),33.4,94.63s,12.607479095458984,1.590712070465088,4.013481616973877,21271.443359375,3.550701141357422,0.0399403901125908,1.466823935508728,0.0642259195446968,0.3497193315636127,,
traffic_hourly (1h),104.18,181.67s,0.0008253686246462,0.0134190144017338,1.0168439149856567,25.714778900146484,0.0287292301654815,0.0396807103129804,0.3227794170379638,0.0520986802875995,0.2445855730424515,,
temperature_rain (1D),106.72,51.92s,158.96197509765625,6.575003147125244,1.1789751052856443,133810.75,12.608012199401855,0.0216320283476482,1.4561697244644165,0.0790323466062545,0.8580568815952595,,
solar_4_seconds (4s),181.73,156.48s,23.079532623291016,1.5590450763702393,25.690189361572266,2572.01171875,4.804116249084473,0.0412370458087039,1.0432041883468628,0.0134458094835281,0.0477826620524761,,
wind_4_seconds (4s),184.15,152.44s,22.64220428466797,1.8029050827026367,10.780738830566406,724.3897094726562,4.758382320404053,0.03637906609780805,0.11517007648944855,0.016024718061089516,0.04451212641740882,,
