dataset,size_in_MB,eval_time,mse,mae,mase,mape,rmse,nrmse,smape,msis,nd,mwsq,crps
us_births (M),0.0,1.23s,188464688.0,10755.865234375,0.8306301832199097,0.034039668738842,13728.244140625,0.17752345909649,0.0344847217202186,0.1309799253940582,0.0343720777185272,,
ett1 (W),0.01,0.97s,3351835.25,1144.8167724609375,0.5183285474777222,0.3669803738594055,1830.8017578125,0.1989077973677291,0.4485527873039245,0.168597787618637,0.4589110354673837,,
ett2 (W),0.01,0.99s,10192439.0,2407.4130859375,0.1581300646066665,0.1155827939510345,3192.56005859375,0.0788363460664298,0.4362284541130066,0.0520540922880172,0.2749834015682734,,
saugeenday (M),0.02,0.65s,305.8569641113281,12.139067649841309,0.6675952076911926,0.5013736486434937,17.488767623901367,0.1206766177549017,0.401420921087265,0.086388424038887,0.408052990539801,,
us_births (W),0.02,0.86s,5459916.0,1747.190185546875,1.5380030870437622,0.0244188159704208,2336.646240234375,0.1071168166848449,0.0246042013168334,0.1245688498020172,0.0246830187976953,,
ett1 (D),0.05,1.25s,50072.50390625,147.96115112304688,0.4160569310188293,0.6244186162948608,223.76885986328125,0.0987482909699568,0.4779788851737976,0.1052039563655853,0.4316675696307145,,
ett2 (D),0.05,1.24s,264504.21875,388.4739685058594,0.1830721348524093,865554.875,514.2997436523438,0.084339787748244,0.4501994252204895,0.0605621188879013,0.3180288956074036,,
solar (W),0.06,1.38s,1306273.375,878.49853515625,0.4611662030220032,0.1802396029233932,1142.9232177734375,0.0540463294156449,0.1598636209964752,0.0901200920343399,0.1557441373908125,,
saugeenday (W),0.07,2.71s,1003.2277221679688,18.19574737548828,1.4468655586242676,0.8644840717315674,31.673770904541016,0.0813071247865478,0.5761644244194031,0.0994791090488433,0.5981317390901512,,
jena_weather (D),0.08,0.41s,700.493408203125,11.58541774749756,0.0420964136719703,57422.52734375,26.46683692932129,0.0207166470785413,0.3985078036785126,0.0097464257851243,0.0681955364492919,,
us_births (D),0.13,6.26s,263312.53125,381.8472290039063,0.5514054298400879,0.0402492508292198,513.139892578125,0.0830861223684041,0.0398938097059726,0.0755611062049865,0.0396743554268382,,
hierarchical_sales (W),0.15,2.0s,961.38134765625,12.184492111206056,0.5438305735588074,25837.873046875,31.006149291992188,0.0380443544926977,0.5113658905029297,0.1084688752889633,0.5148647112374839,,
bizitobs_l2c (H),0.18,13.1s,150.06027221679688,8.609212875366211,0.7779279351234436,242750.890625,12.24990940093994,0.1030847740936296,0.8843563795089722,0.1444953680038452,0.5691250132970582,,
