dataset,size_in_MB,eval_time,mse,mae,mase,mape,rmse,nrmse,smape,msis,nd,mwsq,crps
us_births (M),0.0,0.72s,101249170.0,7817.661,0.6037251,0.024742147,10062.265,0.1301177345359789,0.025053231,0.10197438,0.024982579288495,15650596.558671132,3084.047108066971
ett1 (W),0.01,0.57s,3466291.25,1268.557373046875,0.5743533968925476,0.4109203219413757,1861.7978515625,0.2022753737361191,0.5244917869567871,0.181673526763916,0.5085136692776655,640908.5964778928,507.1361030445792
ett2 (W),0.01,0.56s,9813489.0,2405.44921875,0.1580010652542114,0.0006470042862929,3132.64892578125,0.0773569142897513,0.4746454954147339,0.0534594133496284,0.2747590815782386,1555949.8407223062,890.1369584493251
saugeenday (M),0.02,0.81s,311.4377746582031,11.310687065124512,0.622037947177887,0.3700796663761139,17.647600173950195,0.1217725997784197,0.3756960034370422,0.0800956487655639,0.3802070978691874,53.0551008233,4.488725380446195
us_births (W),0.02,1.11s,3941846.0,1520.2130126953125,1.3382014036178589,0.0215086601674556,1985.4083251953125,0.0910153261339121,0.0216077584773302,0.1235587149858474,0.0214764521225343,635001.5224692915,595.3395501133568
ett1 (D),0.05,1.81s,87682.5234375,178.58450317382812,0.370307981967926,0.3918681740760803,296.1123352050781,0.0587391765812207,0.555036723613739,0.0768964514136314,0.4151628137801278,14547.988650215988,68.38173054147222
ett2 (D),0.05,1.79s,311647.125,395.7612915039063,0.2048380672931671,58152.4765625,558.253662109375,0.0682229848638759,0.453253298997879,0.0679623261094093,0.3288056990829698,50442.2569723927,150.5191639650482
solar (W),0.06,2.45s,1580161.375,933.6862182617188,0.4901369214057922,0.1966948956251144,1257.044677734375,0.0594428826770782,0.1688955724239349,0.0976164564490318,0.165528055924416,267300.13965307287,364.9817976819338
saugeenday (W),0.07,4.91s,1060.978271484375,16.25139808654785,1.292257308959961,0.4811401069164276,32.572662353515625,0.0836145948832284,0.4992882907390594,0.085018053650856,0.534216968369642,240.5268684675404,6.784528994074813
jena_weather (D),0.08,0.72s,1786.498291015625,18.607786178588867,0.0676126778125763,4108.07275390625,42.26698684692383,0.033084053524016,0.4903156459331512,0.0147379608824849,0.1095314807147704,323.8921206336289,7.107109838997024
us_births (D),0.13,10.98s,150857.984375,266.97625732421875,0.3855262994766235,0.0281057767570018,388.4044189453125,0.062889316437244,0.0278437715023756,0.0606482625007629,0.0277391326139484,28965.02914797794,107.13681416070284
hierarchical_sales (W),0.15,2.15s,1056.5379638671875,10.47586727142334,0.4675695300102234,15050.9228515625,32.50442886352539,0.0398827343125129,0.4584525227546692,0.0820461809635162,0.4426655069769426,257.832089741302,4.501674748148496
bizitobs_l2c (H),0.18,23.56s,83.48389434814453,5.1764655113220215,0.4034521877765655,7416.826171875,9.13695240020752,0.0575100973956175,0.51026850938797,0.0796410590410232,0.3432211359955993,15.515020882596954,2.0493777360710186
M_DENSE (D),0.21,6.27s,12024.794921875,50.040340423583984,0.1186582893133163,1160.2659912109375,109.65762329101562,0.0232755850924484,0.1036036014556884,0.0225777458399534,0.0921705406481765,2487.605678521873,20.254600455741144
covid_deaths (D),0.27,4.51s,12407767.0,591.7262573242188,0.1401012390851974,2.6956212520599365,3522.466064453125,0.020340264955795,0.3373095095157623,0.0517678186297416,0.2588048451613845,3153212.043130224,274.2189918758768
bizitobs_application (10s),0.33,25.81s,15609181.0,1181.04150390625,0.0236468017101287,0.0825740993022918,3950.845703125,0.0548973809078699,0.0699779763817787,0.0118471980094909,0.0472001092911595,4159040.487864113,533.7804105600615
solar (D),0.35,2.61s,140234.546875,251.5013885498047,0.8437816500663757,1.009070873260498,374.4790344238281,0.1050815272059788,0.3856095671653747,0.1124929785728454,0.3302260819139622,23938.089734139456,101.43857183548272
hospital (ME),0.35,12.29s,7347.8349609375,28.48770904541016,0.0959574729204177,0.2371423542499542,85.71951293945312,0.0070907033558231,0.2225681245326995,0.0632035434246063,0.1026459111219664,1264.0512879375244,11.018617752182749
saugeenday (D),0.38,38.43s,1601.418701171875,18.66803741455078,4.131343841552734,0.5476250648498535,40.01773071289063,0.0627532274572381,0.5788039565086365,0.099155344069004,0.6227530046182208,418.4403490400211,8.111640243306693
car_parts_with_missing (ME),0.58,42.35s,1.243419885635376,0.4830969572067261,0.7172316312789917,17100.076171875,1.115087389945984,0.0278771777793551,1.786811590194702,0.1140111237764358,1.1035478730391532,0.3051694853987907,0.203832260551193
electricity (W),0.66,6.47s,433753096192.0,65051.203125,0.1045445352792739,-10412.9755859375,658599.375,0.0120539587207322,0.2657520174980163,0.2315261662006378,0.16115229345126,68886542833.39487,25504.43212154981
hierarchical_sales (D),0.9,233.99s,39.63935852050781,2.7933132648468018,0.5382479429244995,247.1498107910156,6.295979499816895,0.0139053197351041,0.8228520750999451,0.0811224430799484,0.7682893270232841,8.430716248609617,1.122948308417862
kdd_cup_2018_with_missing (D),1.08,4.68s,1934.7552490234373,17.744260787963867,0.4582748115062713,0.5986161828041077,43.9858512878418,0.0249720963031966,0.4509621560573578,0.0830609574913978,0.4605686406838998,455.7056437950188,7.134163298486951
LOOP_SEATTLE (D),1.13,6.0s,16.03961181640625,2.681493043899536,1.02627432346344,0.0504210628569126,4.004948616027832,0.0767058166128141,0.049329075962305,0.0997995287179946,0.0479417338455592,3.2806546513327977,1.089376848087906
SZ_TAXI (H),1.14,36.89s,8.00290298461914,1.8732765913009644,0.2263710051774978,0.3371454179286957,2.828940153121948,0.0244166258837003,0.3362044394016266,0.0503297932446002,0.1701801113531459,1.3854350187661164,0.7426581840570171
ett1 (H),1.22,186.27s,151.9443817138672,6.3490986824035645,0.2560421526432037,763.9373168945312,12.32657241821289,0.0398362190221148,0.4580000936985016,0.0600803978741169,0.3534056203747311,29.09291281355901,2.531300828563691
ett2 (H),1.26,194.41s,319.2474365234375,9.180684089660645,0.104810431599617,4442.3544921875,17.867496490478516,0.0270751012782164,0.2930443286895752,0.0384127609431743,0.1364118245305506,69.7408621997138,3.736145214748167
jena_weather (H),1.65,265.95s,13385.173828125,32.48104476928711,0.1022316291928291,-4462.70068359375,115.6943130493164,0.0032605187957881,0.34847292304039,0.023625461384654,0.1702768428346203,2738.9274842931704,12.878972220033424
bizitobs_l2c (5T),1.68,358.53s,51.34545135498047,3.442554712295532,0.37844318151474,4007.91552734375,7.165574073791504,0.044842401187369,0.3632785379886627,0.0639786794781684,0.2239942860723061,11.99310461372202,1.4618874853541024
restaurant (D),1.77,12.95s,151.70989990234375,7.461129665374756,0.4628264307975769,1.3865625858306885,12.317057609558104,0.0140445353125573,0.4397270679473877,0.1046518087387085,0.3636866977355863,32.14866214688887,2.9553384877153195
m4_hourly (h),2.43,301.63s,8903626.0,271.6780090332031,0.0259609408676624,0.0760447457432746,2983.89453125,0.0029752886946265,0.1089471951127052,0.1219168454408645,0.0381394000752445,2050306.7818890307,113.5806341432464
bizitobs_service (10s),3.07,710.66s,193107.6875,108.9515609741211,0.0492805391550064,-0.0597851797938346,439.440185546875,0.016769543384991,0.1660269051790237,0.0258126053959131,0.0851181059987261,42385.94368499936,45.55163621279681
M_DENSE (H),3.7,17.02m,41353.48828125,77.33306884765625,0.1194552555680275,404.60980224609375,203.35557556152344,0.0179689084090607,0.1943001300096511,0.0323235653340816,0.137147767748104,8853.58560234843,31.61479386562143
ett1 (15T),4.4,717.21s,6.860819816589356,1.326205849647522,0.2228504121303558,133.76329040527344,2.619316577911377,0.0330759294897164,0.3894017040729522,0.055576667189598,0.2903818466580101,1.3114741846825506,0.5310045113742939
ett2 (15T),4.57,762.54s,10.978004455566406,1.808209776878357,0.0829143449664115,1215.892333984375,3.313307285308838,0.0182037677066607,0.2544696033000946,0.0325732342898845,0.1064091053548828,2.2292051782484448,0.7277565547828302
SZ_TAXI (15T),4.58,782.12s,28.061941146850582,3.3668811321258545,0.3583649396896362,0.2448612451553344,5.297352313995361,0.0243046115153204,0.444565087556839,0.0721323192119598,0.2720395358426606,5.040245781804694,1.3293472958546633
electricity (D),4.63,524.11s,7496734208.0,7566.62548828125,0.0897422954440116,0.0149448346346616,86583.6796875,0.0040234425825267,0.214786484837532,0.1784471720457077,0.1379934091816841,1348809137.4555247,2997.0928427933404
