dataset,size_in_MB,eval_time,mse,mae,mase,mape,rmse,nrmse,smape,msis,nd,mwsq,crps
us_births (M),0.0,0.4s,3000344600.0,45357.152,,0.1415474,54775.402,0.7083148287470498,0.15697034,0.5907716,0.1449459928586625,,
ett1 (W),0.01,0.01s,3367362.0,1289.9720458984375,,0.5109699964523315,1835.037353515625,0.1993679744503945,0.6322484016418457,0.1768371313810348,0.5170979509975956,,
ett2 (W),0.01,0.01s,13926457.0,2763.200439453125,,0.0872123539447784,3731.81689453125,0.0921526307271427,0.6151796579360962,0.0594872161746025,0.3156227157251128,,
saugeenday (M),0.02,0.01s,313.7554931640625,12.181077003479004,0.490847647190094,0.4888153672218323,17.713144302368164,0.1222248697096848,0.3978652358055115,0.0862952545285224,0.4094651288420972,,
us_births (W),0.02,0.01s,20105792.0,3474.269775390625,1.1367878913879397,0.0478292293846607,4483.9482421875,0.2055536921303733,0.0495077259838581,0.2409838438034057,0.0490819298801119,,
ett1 (D),0.05,0.01s,70841.4765625,173.8226318359375,1.0557185411453247,0.7592813372612,266.1606140136719,0.1174556002717394,0.5317819714546204,0.1279015988111496,0.5071168510241886,,
ett2 (D),0.05,0.01s,298211.0625,411.258544921875,1.3115198612213137,250305.484375,546.0870361328125,0.0895525717987575,0.5169385671615601,0.0653064250946044,0.3366817636550053,,
solar (W),0.06,0.03s,833353.3125,589.9544677734375,0.173105239868164,3.119361162185669,912.8818969726562,0.0412475200542005,0.6278225183486938,0.0507600344717502,0.1465783350562043,,
saugeenday (W),0.07,0.03s,1398.6142578125,22.994462966918945,0.7861799001693726,1.2953144311904907,37.39805221557617,0.0960014551923699,0.727879524230957,0.1199762746691703,0.7558754163830121,,
jena_weather (D),0.08,0.01s,14943.7822265625,64.64045715332031,,43650.609375,122.24476623535156,0.0956858458779762,0.649933397769928,0.0411364063620567,0.3804947519350621,,
us_births (D),0.13,0.06s,806776.8125,766.9176635742188,0.6859992742538452,0.0819367095828056,898.2075805664062,0.1454351650116668,0.080326035618782,0.1538719534873962,0.0796836055276249,,
hierarchical_sales (W),0.15,0.01s,933.9584350585938,12.470171928405762,0.4878568947315216,26011.6796875,30.560733795166016,0.0374978324174082,0.6585963368415833,0.1202765107154846,0.5715919034526574,,
bizitobs_l2c (H),0.18,0.03s,226.3994140625,11.30506992340088,1.701867938041687,342492.65625,15.046574592590332,0.1266191276666756,0.9697225093841552,0.1977446973323822,0.7473387601455413,,
M_DENSE (D),0.21,0.01s,32961.9765625,103.63765716552734,0.8126806020736694,7649.943359375,181.5543365478516,0.0521071496094654,0.2080607116222381,0.0397377796471118,0.1913010429129907,,
covid_deaths (D),0.27,0.01s,8224839.0,488.4300231933594,0.1252886950969696,5.621520042419434,2867.89794921875,0.0165605013890594,0.8315650820732117,0.0789231956005096,0.2569935866197406,,
